Created as New Dataset;Amostra 402 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;18,68
3998,07;18,72
3996,14;18,75
3994,21;18,79
3992,28;18,84
3990,35;18,89
3988,42;18,94
3986,49;18,99
3984,56;19,05
3982,63;19,10
3980,70;19,15
3978,77;19,20
3976,84;19,24
3974,91;19,28
3972,98;19,31
3971,05;19,34
3969,12;19,37
3967,19;19,40
3965,26;19,42
3963,33;19,45
3961,40;19,46
3959,47;19,48
3957,54;19,50
3955,61;19,52
3953,68;19,53
3951,75;19,55
3949,82;19,57
3947,89;19,58
3945,96;19,60
3944,03;19,61
3942,10;19,62
3940,17;19,63
3938,24;19,63
3936,31;19,64
3934,38;19,65
3932,45;19,66
3930,52;19,67
3928,59;19,68
3926,66;19,68
3924,73;19,69
3922,80;19,70
3920,87;19,71
3918,94;19,72
3917,01;19,73
3915,08;19,73
3913,15;19,73
3911,22;19,74
3909,29;19,74
3907,36;19,75
3905,43;19,76
3903,50;19,79
3901,57;19,82
3899,64;19,84
3897,71;19,84
3895,78;19,84
3893,85;19,84
3891,92;19,84
3889,99;19,85
3888,06;19,87
3886,13;19,88
3884,20;19,89
3882,27;19,90
3880,34;19,91
3878,41;19,91
3876,48;19,92
3874,55;19,93
3872,62;19,93
3870,69;19,96
3868,76;19,98
3866,83;19,99
3864,90;20,01
3862,97;20,01
3861,04;20,01
3859,11;20,01
3857,18;20,00
3855,25;20,00
3853,32;20,04
3851,39;20,07
3849,46;20,07
3847,53;20,05
3845,60;20,04
3843,67;20,03
3841,74;20,03
3839,81;20,05
3837,88;20,06
3835,95;20,07
3834,02;20,07
3832,09;20,07
3830,16;20,06
3828,23;20,05
3826,30;20,04
3824,37;20,03
3822,44;20,05
3820,51;20,05
3818,58;20,08
3816,65;20,10
3814,72;20,09
3812,79;20,08
3810,86;20,08
3808,93;20,08
3807,00;20,10
3805,07;20,11
3803,14;20,13
3801,21;20,14
3799,28;20,15
3797,35;20,15
3795,42;20,14
3793,49;20,13
3791,56;20,12
3789,63;20,10
3787,70;20,10
3785,77;20,10
3783,84;20,10
3781,91;20,10
3779,98;20,11
3778,05;20,11
3776,12;20,12
3774,19;20,11
3772,26;20,11
3770,33;20,11
3768,40;20,11
3766,47;20,11
3764,54;20,10
3762,61;20,09
3760,68;20,08
3758,75;20,07
3756,82;20,07
3754,89;20,06
3752,96;20,07
3751,03;20,07
3749,10;20,08
3747,17;20,07
3745,24;20,06
3743,31;20,02
3741,38;19,99
3739,45;19,95
3737,52;19,92
3735,59;19,89
3733,66;19,86
3731,73;19,83
3729,80;19,78
3727,87;19,74
3725,94;19,68
3724,01;19,64
3722,08;19,59
3720,15;19,55
3718,22;19,50
3716,29;19,45
3714,36;19,39
3712,43;19,33
3710,50;19,26
3708,57;19,18
3706,64;19,09
3704,71;18,98
3702,78;18,87
3700,85;18,76
3698,92;18,64
3696,99;18,51
3695,06;18,38
3693,13;18,25
3691,20;18,12
3689,27;17,98
3687,34;17,83
3685,41;17,67
3683,48;17,50
3681,55;17,32
3679,62;17,14
3677,69;16,97
3675,76;16,77
3673,83;16,56
3671,90;16,36
3669,97;16,11
3668,04;15,85
3666,11;15,60
3664,18;15,34
3662,25;15,07
3660,32;14,80
3658,39;14,55
3656,46;14,28
3654,53;14,01
3652,60;13,75
3650,67;13,49
3648,74;13,21
3646,81;12,92
3644,88;12,65
3642,95;12,39
3641,02;12,14
3639,09;11,92
3637,16;11,71
3635,23;11,51
3633,30;11,32
3631,37;11,15
3629,44;10,97
3627,51;10,76
3625,58;10,57
3623,65;10,39
3621,72;10,21
3619,79;10,03
3617,86;9,85
3615,93;9,69
3614,00;9,53
3612,07;9,37
3610,14;9,21
3608,21;9,05
3606,28;8,90
3604,35;8,75
3602,42;8,62
3600,49;8,49
3598,56;8,38
3596,63;8,26
3594,70;8,14
3592,77;8,02
3590,84;7,90
3588,91;7,78
3586,98;7,64
3585,05;7,51
3583,12;7,38
3581,19;7,26
3579,26;7,13
3577,33;7,00
3575,40;6,88
3573,47;6,75
3571,54;6,63
3569,61;6,52
3567,68;6,41
3565,75;6,29
3563,82;6,18
3561,89;6,06
3559,96;5,95
3558,03;5,84
3556,10;5,73
3554,17;5,63
3552,24;5,53
3550,31;5,43
3548,38;5,33
3546,45;5,23
3544,52;5,13
3542,59;5,04
3540,66;4,96
3538,73;4,87
3536,80;4,78
3534,87;4,70
3532,94;4,62
3531,01;4,55
3529,08;4,47
3527,15;4,39
3525,22;4,31
3523,29;4,24
3521,36;4,17
3519,43;4,10
3517,50;4,03
3515,57;3,96
3513,64;3,89
3511,71;3,83
3509,78;3,76
3507,85;3,70
3505,92;3,64
3503,99;3,58
3502,06;3,53
3500,13;3,47
3498,20;3,42
3496,27;3,37
3494,34;3,32
3492,41;3,27
3490,48;3,23
3488,55;3,18
3486,62;3,14
3484,69;3,10
3482,76;3,05
3480,83;3,01
3478,90;2,98
3476,97;2,94
3475,04;2,91
3473,11;2,87
3471,18;2,84
3469,25;2,81
3467,32;2,78
3465,39;2,75
3463,46;2,73
3461,53;2,70
3459,60;2,68
3457,67;2,65
3455,74;2,63
3453,81;2,61
3451,88;2,60
3449,95;2,58
3448,02;2,56
3446,09;2,54
3444,16;2,52
3442,23;2,50
3440,30;2,48
3438,37;2,47
3436,44;2,45
3434,51;2,44
3432,58;2,43
3430,65;2,43
3428,72;2,42
3426,79;2,42
3424,86;2,42
3422,93;2,41
3421,00;2,41
3419,07;2,41
3417,14;2,41
3415,21;2,41
3413,28;2,41
3411,35;2,41
3409,42;2,41
3407,49;2,42
3405,56;2,43
3403,63;2,43
3401,70;2,43
3399,77;2,45
3397,84;2,47
3395,91;2,48
3393,98;2,49
3392,05;2,50
3390,12;2,52
3388,19;2,55
3386,26;2,57
3384,33;2,59
3382,40;2,61
3380,47;2,64
3378,54;2,66
3376,61;2,69
3374,68;2,71
3372,75;2,74
3370,82;2,76
3368,89;2,79
3366,96;2,82
3365,03;2,86
3363,10;2,90
3361,17;2,93
3359,24;2,97
3357,31;3,01
3355,38;3,04
3353,45;3,08
3351,52;3,12
3349,59;3,16
3347,66;3,21
3345,73;3,25
3343,80;3,29
3341,87;3,33
3339,94;3,38
3338,01;3,42
3336,08;3,47
3334,15;3,52
3332,22;3,57
3330,29;3,61
3328,36;3,66
3326,43;3,70
3324,50;3,75
3322,57;3,80
3320,64;3,85
3318,71;3,90
3316,78;3,94
3314,85;3,99
3312,92;4,04
3310,99;4,08
3309,06;4,12
3307,13;4,16
3305,20;4,21
3303,27;4,26
3301,34;4,31
3299,41;4,36
3297,48;4,40
3295,55;4,44
3293,62;4,49
3291,69;4,53
3289,76;4,58
3287,83;4,63
3285,90;4,67
3283,97;4,72
3282,04;4,76
3280,11;4,80
3278,18;4,85
3276,25;4,89
3274,32;4,94
3272,39;4,98
3270,46;5,03
3268,53;5,08
3266,60;5,12
3264,67;5,17
3262,74;5,22
3260,81;5,27
3258,88;5,32
3256,95;5,37
3255,02;5,42
3253,09;5,48
3251,16;5,53
3249,23;5,58
3247,30;5,64
3245,37;5,70
3243,44;5,76
3241,51;5,82
3239,58;5,88
3237,65;5,94
3235,72;6,00
3233,79;6,06
3231,86;6,12
3229,93;6,19
3228,00;6,25
3226,07;6,32
3224,14;6,38
3222,21;6,45
3220,28;6,52
3218,35;6,58
3216,42;6,65
3214,49;6,72
3212,56;6,78
3210,63;6,85
3208,70;6,92
3206,77;6,99
3204,84;7,06
3202,91;7,13
3200,98;7,20
3199,05;7,28
3197,12;7,36
3195,19;7,44
3193,26;7,52
3191,33;7,61
3189,40;7,70
3187,47;7,80
3185,54;7,89
3183,61;7,99
3181,68;8,10
3179,75;8,21
3177,82;8,32
3175,89;8,44
3173,96;8,55
3172,03;8,67
3170,10;8,80
3168,17;8,92
3166,24;9,05
3164,31;9,18
3162,38;9,32
3160,45;9,45
3158,52;9,59
3156,59;9,72
3154,66;9,86
3152,73;10,00
3150,80;10,14
3148,87;10,28
3146,94;10,42
3145,01;10,56
3143,08;10,70
3141,15;10,84
3139,22;10,98
3137,29;11,12
3135,36;11,25
3133,43;11,39
3131,50;11,52
3129,57;11,65
3127,64;11,78
3125,71;11,90
3123,78;12,03
3121,85;12,14
3119,92;12,26
3117,99;12,37
3116,06;12,48
3114,13;12,59
3112,20;12,69
3110,27;12,78
3108,34;12,87
3106,41;12,95
3104,48;13,03
3102,55;13,11
3100,62;13,18
3098,69;13,25
3096,76;13,31
3094,83;13,36
3092,90;13,39
3090,97;13,41
3089,04;13,42
3087,11;13,42
3085,18;13,41
3083,25;13,40
3081,32;13,37
3079,39;13,33
3077,46;13,28
3075,53;13,22
3073,60;13,15
3071,67;13,08
3069,74;12,99
3067,81;12,90
3065,88;12,81
3063,95;12,73
3062,02;12,65
3060,09;12,58
3058,16;12,50
3056,23;12,43
3054,30;12,35
3052,37;12,25
3050,44;12,14
3048,51;12,02
3046,58;11,88
3044,65;11,73
3042,72;11,56
3040,79;11,38
3038,86;11,18
3036,93;10,96
3035,00;10,71
3033,07;10,44
3031,14;10,13
3029,21;9,79
3027,28;9,44
3025,35;9,07
3023,42;8,67
3021,49;8,25
3019,56;7,79
3017,63;7,30
3015,70;6,79
3013,77;6,28
3011,84;5,78
3009,91;5,30
3007,98;4,83
3006,05;4,36
3004,12;3,90
3002,19;3,43
3000,26;2,96
2998,33;2,51
2996,40;2,08
2994,47;1,68
2992,54;1,32
2990,61;1,01
2988,68;0,75
2986,75;0,54
2984,82;0,36
2982,89;0,23
2980,96;0,13
2979,03;0,07
2977,10;0,04
2975,17;0,03
2973,24;0,02
2971,31;0,02
2969,38;0,02
2967,45;0,02
2965,52;0,02
2963,59;0,02
2961,66;0,01
2959,73;0,01
2957,80;0,01
2955,87;0,01
2953,94;0,01
2952,01;0,01
2950,08;0,01
2948,15;0,01
2946,22;0,00
2944,29;0,00
2942,36;0,00
2940,43;0,00
2938,50;0,01
2936,57;0,00
2934,64;0,00
2932,71;0,00
2930,78;0,01
2928,85;0,00
2926,92;0,00
2924,99;0,00
2923,06;0,00
2921,13;0,00
2919,20;0,01
2917,27;0,01
2915,34;0,01
2913,41;0,00
2911,48;0,00
2909,55;0,00
2907,62;0,00
2905,69;0,01
2903,76;0,01
2901,83;0,01
2899,90;0,01
2897,97;0,01
2896,04;0,01
2894,11;0,00
2892,18;0,01
2890,25;0,01
2888,32;0,01
2886,39;0,01
2884,46;0,01
2882,53;0,01
2880,60;0,01
2878,67;0,01
2876,74;0,01
2874,81;0,01
2872,88;0,01
2870,95;0,01
2869,02;0,01
2867,09;0,01
2865,16;0,01
2863,23;0,01
2861,30;0,01
2859,37;0,02
2857,44;0,02
2855,51;0,02
2853,58;0,02
2851,65;0,02
2849,72;0,02
2847,79;0,02
2845,86;0,02
2843,93;0,02
2842,00;0,02
2840,07;0,02
2838,14;0,03
2836,21;0,06
2834,28;0,13
2832,35;0,25
2830,42;0,43
2828,49;0,68
2826,56;0,99
2824,63;1,34
2822,70;1,72
2820,77;2,14
2818,84;2,58
2816,91;3,05
2814,98;3,54
2813,05;4,05
2811,12;4,58
2809,19;5,13
2807,26;5,70
2805,33;6,29
2803,40;6,87
2801,47;7,46
2799,54;8,04
2797,61;8,62
2795,68;9,19
2793,75;9,77
2791,82;10,35
2789,89;10,93
2787,96;11,53
2786,03;12,13
2784,10;12,73
2782,17;13,33
2780,24;13,92
2778,31;14,48
2776,38;15,01
2774,45;15,50
2772,52;15,95
2770,59;16,35
2768,66;16,70
2766,73;17,01
2764,80;17,27
2762,87;17,47
2760,94;17,64
2759,01;17,78
2757,08;17,91
2755,15;18,03
2753,22;18,12
2751,29;18,18
2749,36;18,19
2747,43;18,17
2745,50;18,09
2743,57;17,97
2741,64;17,79
2739,71;17,55
2737,78;17,25
2735,85;16,89
2733,92;16,50
2731,99;16,14
2730,06;15,90
2728,13;15,83
2726,20;15,90
2724,27;16,06
2722,34;16,27
2720,41;16,51
2718,48;16,80
2716,55;17,14
2714,62;17,53
2712,69;17,94
2710,76;18,32
2708,83;18,65
2706,90;18,91
2704,97;19,10
2703,04;19,23
2701,11;19,30
2699,18;19,33
2697,25;19,30
2695,32;19,24
2693,39;19,16
2691,46;19,05
2689,53;18,95
2687,60;18,87
2685,67;18,82
2683,74;18,79
2681,81;18,79
2679,88;18,79
2677,95;18,81
2676,02;18,83
2674,09;18,85
2672,16;18,88
2670,23;18,95
2668,30;19,07
2666,37;19,25
2664,44;19,46
2662,51;19,69
2660,58;19,94
2658,65;20,18
2656,72;20,42
2654,79;20,64
2652,86;20,84
2650,93;21,02
2649,00;21,19
2647,07;21,35
2645,14;21,50
2643,21;21,64
2641,28;21,77
2639,35;21,90
2637,42;22,02
2635,49;22,13
2633,56;22,24
2631,63;22,35
2629,70;22,45
2627,77;22,55
2625,84;22,65
2623,91;22,75
2621,98;22,85
2620,05;22,95
2618,12;23,06
2616,19;23,16
2614,26;23,28
2612,33;23,39
2610,40;23,52
2608,47;23,65
2606,54;23,78
2604,61;23,92
2602,68;24,08
2600,75;24,24
2598,82;24,42
2596,89;24,61
2594,96;24,80
2593,03;25,01
2591,10;25,22
2589,17;25,44
2587,24;25,68
2585,31;25,92
2583,38;26,16
2581,45;26,41
2579,52;26,67
2577,59;26,93
2575,66;27,18
2573,73;27,44
2571,80;27,69
2569,87;27,94
2567,94;28,18
2566,01;28,40
2564,08;28,62
2562,15;28,82
2560,22;29,01
2558,29;29,19
2556,36;29,37
2554,43;29,53
2552,50;29,68
2550,57;29,82
2548,64;29,95
2546,71;30,08
2544,78;30,20
2542,85;30,32
2540,92;30,43
2538,99;30,54
2537,06;30,64
2535,13;30,73
2533,20;30,84
2531,27;30,95
2529,34;31,07
2527,41;31,21
2525,48;31,35
2523,55;31,49
2521,62;31,64
2519,69;31,78
2517,76;31,92
