Created as New Dataset;Amostra 402 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;10,78
3998,07;10,80
3996,14;10,82
3994,21;10,84
3992,28;10,87
3990,35;10,90
3988,42;10,93
3986,49;10,96
3984,56;10,99
3982,63;11,02
3980,70;11,05
3978,77;11,07
3976,84;11,10
3974,91;11,12
3972,98;11,14
3971,05;11,16
3969,12;11,17
3967,19;11,19
3965,26;11,20
3963,33;11,22
3961,40;11,23
3959,47;11,24
3957,54;11,25
3955,61;11,26
3953,68;11,27
3951,75;11,28
3949,82;11,29
3947,89;11,29
3945,96;11,30
3944,03;11,31
3942,10;11,31
3940,17;11,32
3938,24;11,32
3936,31;11,33
3934,38;11,33
3932,45;11,33
3930,52;11,34
3928,59;11,34
3926,66;11,34
3924,73;11,35
3922,80;11,35
3920,87;11,35
3918,94;11,35
3917,01;11,36
3915,08;11,36
3913,15;11,36
3911,22;11,37
3909,29;11,37
3907,36;11,38
3905,43;11,38
3903,50;11,38
3901,57;11,38
3899,64;11,39
3897,71;11,39
3895,78;11,39
3893,85;11,40
3891,92;11,40
3889,99;11,41
3888,06;11,41
3886,13;11,41
3884,20;11,41
3882,27;11,41
3880,34;11,41
3878,41;11,42
3876,48;11,42
3874,55;11,42
3872,62;11,43
3870,69;11,43
3868,76;11,43
3866,83;11,44
3864,90;11,44
3862,97;11,44
3861,04;11,44
3859,11;11,44
3857,18;11,45
3855,25;11,46
3853,32;11,46
3851,39;11,46
3849,46;11,45
3847,53;11,43
3845,60;11,42
3843,67;11,42
3841,74;11,42
3839,81;11,42
3837,88;11,42
3835,95;11,41
3834,02;11,41
3832,09;11,40
3830,16;11,40
3828,23;11,39
3826,30;11,38
3824,37;11,37
3822,44;11,37
3820,51;11,36
3818,58;11,37
3816,65;11,37
3814,72;11,36
3812,79;11,36
3810,86;11,36
3808,93;11,35
3807,00;11,35
3805,07;11,35
3803,14;11,35
3801,21;11,34
3799,28;11,34
3797,35;11,33
3795,42;11,32
3793,49;11,31
3791,56;11,30
3789,63;11,29
3787,70;11,28
3785,77;11,27
3783,84;11,26
3781,91;11,25
3779,98;11,24
3778,05;11,23
3776,12;11,23
3774,19;11,21
3772,26;11,20
3770,33;11,19
3768,40;11,17
3766,47;11,16
3764,54;11,14
3762,61;11,12
3760,68;11,10
3758,75;11,08
3756,82;11,06
3754,89;11,04
3752,96;11,03
3751,03;11,00
3749,10;10,98
3747,17;10,96
3745,24;10,92
3743,31;10,88
3741,38;10,85
3739,45;10,81
3737,52;10,77
3735,59;10,73
3733,66;10,70
3731,73;10,66
3729,80;10,62
3727,87;10,57
3725,94;10,52
3724,01;10,47
3722,08;10,41
3720,15;10,36
3718,22;10,30
3716,29;10,24
3714,36;10,18
3712,43;10,10
3710,50;10,01
3708,57;9,92
3706,64;9,82
3704,71;9,72
3702,78;9,62
3700,85;9,50
3698,92;9,38
3696,99;9,25
3695,06;9,12
3693,13;8,99
3691,20;8,85
3689,27;8,69
3687,34;8,52
3685,41;8,36
3683,48;8,20
3681,55;8,04
3679,62;7,88
3677,69;7,71
3675,76;7,50
3673,83;7,30
3671,90;7,11
3669,97;6,89
3668,04;6,68
3666,11;6,48
3664,18;6,29
3662,25;6,09
3660,32;5,90
3658,39;5,71
3656,46;5,51
3654,53;5,32
3652,60;5,15
3650,67;4,97
3648,74;4,78
3646,81;4,60
3644,88;4,45
3642,95;4,30
3641,02;4,17
3639,09;4,04
3637,16;3,92
3635,23;3,80
3633,30;3,69
3631,37;3,60
3629,44;3,48
3627,51;3,36
3625,58;3,26
3623,65;3,16
3621,72;3,07
3619,79;2,98
3617,86;2,89
3615,93;2,80
3614,00;2,72
3612,07;2,64
3610,14;2,56
3608,21;2,49
3606,28;2,41
3604,35;2,34
3602,42;2,28
3600,49;2,21
3598,56;2,15
3596,63;2,10
3594,70;2,04
3592,77;1,98
3590,84;1,93
3588,91;1,87
3586,98;1,80
3585,05;1,74
3583,12;1,69
3581,19;1,64
3579,26;1,59
3577,33;1,54
3575,40;1,49
3573,47;1,44
3571,54;1,40
3569,61;1,35
3567,68;1,31
3565,75;1,26
3563,82;1,22
3561,89;1,17
3559,96;1,14
3558,03;1,10
3556,10;1,07
3554,17;1,03
3552,24;0,99
3550,31;0,96
3548,38;0,93
3546,45;0,89
3544,52;0,86
3542,59;0,83
3540,66;0,81
3538,73;0,78
3536,80;0,76
3534,87;0,74
3532,94;0,71
3531,01;0,69
3529,08;0,67
3527,15;0,65
3525,22;0,62
3523,29;0,60
3521,36;0,59
3519,43;0,57
3517,50;0,55
3515,57;0,53
3513,64;0,51
3511,71;0,50
3509,78;0,48
3507,85;0,47
3505,92;0,45
3503,99;0,43
3502,06;0,42
3500,13;0,41
3498,20;0,40
3496,27;0,39
3494,34;0,37
3492,41;0,36
3490,48;0,35
3488,55;0,34
3486,62;0,33
3484,69;0,33
3482,76;0,32
3480,83;0,31
3478,90;0,30
3476,97;0,29
3475,04;0,29
3473,11;0,28
3471,18;0,27
3469,25;0,27
3467,32;0,26
3465,39;0,26
3463,46;0,25
3461,53;0,25
3459,60;0,24
3457,67;0,24
3455,74;0,24
3453,81;0,23
3451,88;0,23
3449,95;0,23
3448,02;0,22
3446,09;0,22
3444,16;0,22
3442,23;0,21
3440,30;0,21
3438,37;0,20
3436,44;0,20
3434,51;0,19
3432,58;0,19
3430,65;0,19
3428,72;0,19
3426,79;0,19
3424,86;0,19
3422,93;0,19
3421,00;0,18
3419,07;0,18
3417,14;0,18
3415,21;0,18
3413,28;0,18
3411,35;0,18
3409,42;0,18
3407,49;0,18
3405,56;0,18
3403,63;0,17
3401,70;0,17
3399,77;0,17
3397,84;0,18
3395,91;0,18
3393,98;0,18
3392,05;0,18
3390,12;0,18
3388,19;0,18
3386,26;0,19
3384,33;0,19
3382,40;0,19
3380,47;0,19
3378,54;0,20
3376,61;0,20
3374,68;0,20
3372,75;0,20
3370,82;0,20
3368,89;0,20
3366,96;0,21
3365,03;0,22
3363,10;0,22
3361,17;0,22
3359,24;0,23
3357,31;0,23
3355,38;0,24
3353,45;0,24
3351,52;0,24
3349,59;0,25
3347,66;0,25
3345,73;0,26
3343,80;0,26
3341,87;0,27
3339,94;0,27
3338,01;0,28
3336,08;0,29
3334,15;0,30
3332,22;0,30
3330,29;0,31
3328,36;0,31
3326,43;0,32
3324,50;0,32
3322,57;0,33
3320,64;0,34
3318,71;0,34
3316,78;0,35
3314,85;0,36
3312,92;0,37
3310,99;0,37
3309,06;0,38
3307,13;0,38
3305,20;0,39
3303,27;0,40
3301,34;0,41
3299,41;0,42
3297,48;0,42
3295,55;0,43
3293,62;0,44
3291,69;0,45
3289,76;0,45
3287,83;0,46
3285,90;0,47
3283,97;0,48
3282,04;0,49
3280,11;0,50
3278,18;0,51
3276,25;0,52
3274,32;0,52
3272,39;0,53
3270,46;0,54
3268,53;0,55
3266,60;0,56
3264,67;0,58
3262,74;0,59
3260,81;0,60
3258,88;0,61
3256,95;0,62
3255,02;0,63
3253,09;0,65
3251,16;0,66
3249,23;0,68
3247,30;0,69
3245,37;0,70
3243,44;0,72
3241,51;0,74
3239,58;0,75
3237,65;0,77
3235,72;0,79
3233,79;0,81
3231,86;0,83
3229,93;0,85
3228,00;0,87
3226,07;0,89
3224,14;0,91
3222,21;0,94
3220,28;0,96
3218,35;0,98
3216,42;1,01
3214,49;1,03
3212,56;1,06
3210,63;1,09
3208,70;1,11
3206,77;1,14
3204,84;1,17
3202,91;1,20
3200,98;1,24
3199,05;1,27
3197,12;1,31
3195,19;1,34
3193,26;1,38
3191,33;1,42
3189,40;1,46
3187,47;1,50
3185,54;1,55
3183,61;1,59
3181,68;1,64
3179,75;1,69
3177,82;1,74
3175,89;1,80
3173,96;1,85
3172,03;1,91
3170,10;1,97
3168,17;2,03
3166,24;2,09
3164,31;2,16
3162,38;2,23
3160,45;2,29
3158,52;2,36
3156,59;2,43
3154,66;2,51
3152,73;2,58
3150,80;2,66
3148,87;2,74
3146,94;2,82
3145,01;2,90
3143,08;2,98
3141,15;3,07
3139,22;3,15
3137,29;3,24
3135,36;3,33
3133,43;3,42
3131,50;3,51
3129,57;3,59
