Created as New Dataset;Amostra 397 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;7,76
3998,07;7,77
3996,14;7,78
3994,21;7,79
3992,28;7,80
3990,35;7,81
3988,42;7,83
3986,49;7,84
3984,56;7,85
3982,63;7,87
3980,70;7,88
3978,77;7,90
3976,84;7,91
3974,91;7,92
3972,98;7,92
3971,05;7,93
3969,12;7,93
3967,19;7,94
3965,26;7,94
3963,33;7,94
3961,40;7,94
3959,47;7,94
3957,54;7,94
3955,61;7,95
3953,68;7,94
3951,75;7,94
3949,82;7,94
3947,89;7,94
3945,96;7,93
3944,03;7,93
3942,10;7,93
3940,17;7,93
3938,24;7,92
3936,31;7,91
3934,38;7,91
3932,45;7,90
3930,52;7,90
3928,59;7,89
3926,66;7,89
3924,73;7,88
3922,80;7,87
3920,87;7,87
3918,94;7,86
3917,01;7,85
3915,08;7,85
3913,15;7,84
3911,22;7,84
3909,29;7,83
3907,36;7,82
3905,43;7,81
3903,50;7,80
3901,57;7,79
3899,64;7,79
3897,71;7,78
3895,78;7,78
3893,85;7,77
3891,92;7,76
3889,99;7,75
3888,06;7,74
3886,13;7,73
3884,20;7,72
3882,27;7,71
3880,34;7,71
3878,41;7,70
3876,48;7,69
3874,55;7,68
3872,62;7,67
3870,69;7,66
3868,76;7,65
3866,83;7,64
3864,90;7,63
3862,97;7,62
3861,04;7,61
3859,11;7,60
3857,18;7,58
3855,25;7,56
3853,32;7,54
3851,39;7,53
3849,46;7,52
3847,53;7,51
3845,60;7,50
3843,67;7,48
3841,74;7,47
3839,81;7,45
3837,88;7,43
3835,95;7,41
3834,02;7,39
3832,09;7,38
3830,16;7,37
3828,23;7,35
3826,30;7,33
3824,37;7,31
3822,44;7,29
3820,51;7,27
3818,58;7,25
3816,65;7,23
3814,72;7,21
3812,79;7,20
3810,86;7,18
3808,93;7,16
3807,00;7,15
3805,07;7,13
3803,14;7,10
3801,21;7,08
3799,28;7,06
3797,35;7,04
3795,42;7,02
3793,49;7,00
3791,56;6,97
3789,63;6,95
3787,70;6,93
3785,77;6,90
3783,84;6,87
3781,91;6,85
3779,98;6,82
3778,05;6,80
3776,12;6,77
3774,19;6,74
3772,26;6,72
3770,33;6,69
3768,40;6,65
3766,47;6,62
3764,54;6,59
3762,61;6,56
3760,68;6,52
3758,75;6,49
3756,82;6,45
3754,89;6,42
3752,96;6,38
3751,03;6,34
3749,10;6,29
3747,17;6,25
3745,24;6,20
3743,31;6,16
3741,38;6,11
3739,45;6,07
3737,52;6,02
3735,59;5,97
3733,66;5,92
3731,73;5,87
3729,80;5,82
3727,87;5,76
3725,94;5,71
3724,01;5,65
3722,08;5,58
3720,15;5,52
3718,22;5,45
3716,29;5,38
3714,36;5,31
3712,43;5,23
3710,50;5,15
3708,57;5,06
3706,64;4,97
3704,71;4,88
3702,78;4,79
3700,85;4,68
3698,92;4,58
3696,99;4,47
3695,06;4,36
3693,13;4,25
3691,20;4,14
3689,27;4,00
3687,34;3,87
3685,41;3,75
3683,48;3,64
3681,55;3,52
3679,62;3,40
3677,69;3,28
3675,76;3,14
3673,83;3,01
3671,90;2,88
3669,97;2,75
3668,04;2,62
3666,11;2,50
3664,18;2,39
3662,25;2,28
3660,32;2,17
3658,39;2,07
3656,46;1,98
3654,53;1,88
3652,60;1,79
3650,67;1,71
3648,74;1,62
3646,81;1,54
3644,88;1,46
3642,95;1,40
3641,02;1,34
3639,09;1,28
3637,16;1,22
3635,23;1,17
3633,30;1,13
3631,37;1,09
3629,44;1,04
3627,51;0,99
3625,58;0,95
3623,65;0,91
3621,72;0,87
3619,79;0,84
3617,86;0,81
3615,93;0,77
3614,00;0,74
3612,07;0,72
3610,14;0,69
3608,21;0,66
3606,28;0,63
3604,35;0,60
3602,42;0,58
3600,49;0,56
3598,56;0,54
3596,63;0,52
3594,70;0,50
3592,77;0,48
3590,84;0,46
3588,91;0,45
3586,98;0,42
3585,05;0,40
3583,12;0,39
3581,19;0,37
3579,26;0,36
3577,33;0,35
3575,40;0,33
3573,47;0,32
3571,54;0,31
3569,61;0,30
3567,68;0,29
3565,75;0,28
3563,82;0,26
3561,89;0,25
3559,96;0,24
3558,03;0,23
3556,10;0,23
3554,17;0,22
3552,24;0,21
3550,31;0,20
3548,38;0,19
3546,45;0,18
3544,52;0,17
3542,59;0,16
3540,66;0,16
3538,73;0,16
3536,80;0,15
3534,87;0,15
3532,94;0,15
3531,01;0,14
3529,08;0,14
3527,15;0,13
3525,22;0,12
3523,29;0,12
3521,36;0,12
3519,43;0,12
3517,50;0,11
3515,57;0,11
3513,64;0,10
3511,71;0,10
3509,78;0,10
3507,85;0,10
3505,92;0,09
3503,99;0,08
3502,06;0,08
3500,13;0,07
3498,20;0,07
3496,27;0,07
3494,34;0,07
3492,41;0,07
3490,48;0,06
3488,55;0,06
3486,62;0,06
3484,69;0,06
3482,76;0,06
3480,83;0,06
3478,90;0,06
3476,97;0,06
3475,04;0,06
3473,11;0,05
3471,18;0,05
3469,25;0,04
3467,32;0,04
3465,39;0,05
3463,46;0,05
3461,53;0,05
3459,60;0,05
3457,67;0,05
3455,74;0,05
3453,81;0,05
3451,88;0,05
3449,95;0,05
3448,02;0,05
3446,09;0,05
3444,16;0,05
3442,23;0,05
3440,30;0,05
3438,37;0,04
3436,44;0,04
3434,51;0,04
3432,58;0,04
3430,65;0,04
3428,72;0,04
3426,79;0,04
3424,86;0,04
3422,93;0,04
3421,00;0,04
3419,07;0,04
3417,14;0,04
3415,21;0,04
3413,28;0,04
3411,35;0,04
3409,42;0,03
3407,49;0,03
3405,56;0,04
3403,63;0,03
3401,70;0,03
3399,77;0,03
3397,84;0,03
3395,91;0,03
