Created as New Dataset;Amostra 400 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;17,83
3998,07;17,86
3996,14;17,89
3994,21;17,93
3992,28;17,98
3990,35;18,03
3988,42;18,08
3986,49;18,13
3984,56;18,18
3982,63;18,23
3980,70;18,28
3978,77;18,32
3976,84;18,36
3974,91;18,40
3972,98;18,44
3971,05;18,47
3969,12;18,49
3967,19;18,52
3965,26;18,54
3963,33;18,56
3961,40;18,58
3959,47;18,60
3957,54;18,62
3955,61;18,64
3953,68;18,65
3951,75;18,67
3949,82;18,69
3947,89;18,70
3945,96;18,72
3944,03;18,73
3942,10;18,73
3940,17;18,74
3938,24;18,75
3936,31;18,75
3934,38;18,76
3932,45;18,77
3930,52;18,78
3928,59;18,79
3926,66;18,80
3924,73;18,80
3922,80;18,81
3920,87;18,82
3918,94;18,84
3917,01;18,84
3915,08;18,84
3913,15;18,85
3911,22;18,85
3909,29;18,85
3907,36;18,86
3905,43;18,88
3903,50;18,91
3901,57;18,94
3899,64;18,96
3897,71;18,95
3895,78;18,95
3893,85;18,95
3891,92;18,95
3889,99;18,96
3888,06;18,98
3886,13;18,99
3884,20;19,00
3882,27;19,01
3880,34;19,02
3878,41;19,02
3876,48;19,03
3874,55;19,03
3872,62;19,05
3870,69;19,08
3868,76;19,09
3866,83;19,11
3864,90;19,12
3862,97;19,12
3861,04;19,12
3859,11;19,12
3857,18;19,11
3855,25;19,11
3853,32;19,15
3851,39;19,18
3849,46;19,18
3847,53;19,16
3845,60;19,14
3843,67;19,14
3841,74;19,14
3839,81;19,16
3837,88;19,18
3835,95;19,18
3834,02;19,19
3832,09;19,18
3830,16;19,17
3828,23;19,16
3826,30;19,15
3824,37;19,15
3822,44;19,17
3820,51;19,18
3818,58;19,20
3816,65;19,22
3814,72;19,21
3812,79;19,20
3810,86;19,20
3808,93;19,20
3807,00;19,21
3805,07;19,23
3803,14;19,26
3801,21;19,27
3799,28;19,28
3797,35;19,28
3795,42;19,27
3793,49;19,25
3791,56;19,24
3789,63;19,23
3787,70;19,22
3785,77;19,23
3783,84;19,23
3781,91;19,24
3779,98;19,25
3778,05;19,25
3776,12;19,25
3774,19;19,25
3772,26;19,25
3770,33;19,26
3768,40;19,26
3766,47;19,27
3764,54;19,26
3762,61;19,25
3760,68;19,25
3758,75;19,24
3756,82;19,24
3754,89;19,24
3752,96;19,26
3751,03;19,27
3749,10;19,28
3747,17;19,27
3745,24;19,26
3743,31;19,23
3741,38;19,20
3739,45;19,18
3737,52;19,16
3735,59;19,13
3733,66;19,11
3731,73;19,08
3729,80;19,04
3727,87;19,00
3725,94;18,95
3724,01;18,92
3722,08;18,88
3720,15;18,84
3718,22;18,80
3716,29;18,75
3714,36;18,71
3712,43;18,67
3710,50;18,61
3708,57;18,55
3706,64;18,46
3704,71;18,38
3702,78;18,28
3700,85;18,18
3698,92;18,09
3696,99;17,98
3695,06;17,87
3693,13;17,77
3691,20;17,66
3689,27;17,55
3687,34;17,43
3685,41;17,30
3683,48;17,15
3681,55;17,00
3679,62;16,86
3677,69;16,72
3675,76;16,56
3673,83;16,39
3671,90;16,23
3669,97;16,02
3668,04;15,80
3666,11;15,58
3664,18;15,36
3662,25;15,13
3660,32;14,91
3658,39;14,70
3656,46;14,47
3654,53;14,24
3652,60;14,04
3650,67;13,82
3648,74;13,58
3646,81;13,34
3644,88;13,10
3642,95;12,87
3641,02;12,66
3639,09;12,46
3637,16;12,29
3635,23;12,12
3633,30;11,97
3631,37;11,83
3629,44;11,68
3627,51;11,50
3625,58;11,34
3623,65;11,18
3621,72;11,02
3619,79;10,86
3617,86;10,71
3615,93;10,57
3614,00;10,42
3612,07;10,27
3610,14;10,13
3608,21;9,99
3606,28;9,85
3604,35;9,72
3602,42;9,60
3600,49;9,49
3598,56;9,38
3596,63;9,28
3594,70;9,17
3592,77;9,06
3590,84;8,95
3588,91;8,84
3586,98;8,71
3585,05;8,58
3583,12;8,46
3581,19;8,33
3579,26;8,21
3577,33;8,09
3575,40;7,96
3573,47;7,84
3571,54;7,72
3569,61;7,61
3567,68;7,50
3565,75;7,38
3563,82;7,26
3561,89;7,15
3559,96;7,03
3558,03;6,92
3556,10;6,81
3554,17;6,70
3552,24;6,60
3550,31;6,50
3548,38;6,39
3546,45;6,29
3544,52;6,19
3542,59;6,10
3540,66;6,01
3538,73;5,91
3536,80;5,82
3534,87;5,73
3532,94;5,65
3531,01;5,57
3529,08;5,48
3527,15;5,40
3525,22;5,32
3523,29;5,24
3521,36;5,16
3519,43;5,09
3517,50;5,01
3515,57;4,93
3513,64;4,86
3511,71;4,79
3509,78;4,72
3507,85;4,65
3505,92;4,59
3503,99;4,52
3502,06;4,45
3500,13;4,39
3498,20;4,33
3496,27;4,27
3494,34;4,22
3492,41;4,16
3490,48;4,11
3488,55;4,05
3486,62;4,00
3484,69;3,95
3482,76;3,90
3480,83;3,86
3478,90;3,81
3476,97;3,77
3475,04;3,73
3473,11;3,69
3471,18;3,64
3469,25;3,60
3467,32;3,57
3465,39;3,54
3463,46;3,51
3461,53;3,47
3459,60;3,44
3457,67;3,41
3455,74;3,38
3453,81;3,35
3451,88;3,33
3449,95;3,30
3448,02;3,27
3446,09;3,25
3444,16;3,22
3442,23;3,20
3440,30;3,18
3438,37;3,15
3436,44;3,13
3434,51;3,11
3432,58;3,10
3430,65;3,09
3428,72;3,08
3426,79;3,07
3424,86;3,06
3422,93;3,05
3421,00;3,04
3419,07;3,04
3417,14;3,03
3415,21;3,02
3413,28;3,02
3411,35;3,02
3409,42;3,02
3407,49;3,02
3405,56;3,02
3403,63;3,02
3401,70;3,02
3399,77;3,02
3397,84;3,04
3395,91;3,05
3393,98;3,05
3392,05;3,06
3390,12;3,08
3388,19;3,10
3386,26;3,12
3384,33;3,13
3382,40;3,15
3380,47;3,17
3378,54;3,19
3376,61;3,21
3374,68;3,23
3372,75;3,25
3370,82;3,27
3368,89;3,30
3366,96;3,33
3365,03;3,36
3363,10;3,39
3361,17;3,42
3359,24;3,46
3357,31;3,49
3355,38;3,52
3353,45;3,55
3351,52;3,59
3349,59;3,62
3347,66;3,66
3345,73;3,70
3343,80;3,74
3341,87;3,78
3339,94;3,82
3338,01;3,86
3336,08;3,90
3334,15;3,94
3332,22;3,98
3330,29;4,03
3328,36;4,07
3326,43;4,11
3324,50;4,15
3322,57;4,19
3320,64;4,24
3318,71;4,28
3316,78;4,32
3314,85;4,36
3312,92;4,40
3310,99;4,44
3309,06;4,48
3307,13;4,52
3305,20;4,56
3303,27;4,61
3301,34;4,65
3299,41;4,69
3297,48;4,73
3295,55;4,76
3293,62;4,80
3291,69;4,84
3289,76;4,89
3287,83;4,93
3285,90;4,97
3283,97;5,01
3282,04;5,05
3280,11;5,09
3278,18;5,13
3276,25;5,17
3274,32;5,21
3272,39;5,25
3270,46;5,29
3268,53;5,33
3266,60;5,38
3264,67;5,42
3262,74;5,47
3260,81;5,51
3258,88;5,56
3256,95;5,60
3255,02;5,65
3253,09;5,70
3251,16;5,75
3249,23;5,80
3247,30;5,85
3245,37;5,90
3243,44;5,95
3241,51;6,01
3239,58;6,06
3237,65;6,12
3235,72;6,17
3233,79;6,22
3231,86;6,28
3229,93;6,34
3228,00;6,40
3226,07;6,46
3224,14;6,52
3222,21;6,57
3220,28;6,63
3218,35;6,69
3216,42;6,75
3214,49;6,80
3212,56;6,86
3210,63;6,92
3208,70;6,98
3206,77;7,04
3204,84;7,10
3202,91;7,16
3200,98;7,23
3199,05;7,29
3197,12;7,36
3195,19;7,43
3193,26;7,51
3191,33;7,58
3189,40;7,66
3187,47;7,75
3185,54;7,84
3183,61;7,93
3181,68;8,02
3179,75;8,12
3177,82;8,22
3175,89;8,33
3173,96;8,44
3172,03;8,55
3170,10;8,66
3168,17;8,77
3166,24;8,89
3164,31;9,01
3162,38;9,14
3160,45;9,26
3158,52;9,39
3156,59;9,51
3154,66;9,64
3152,73;9,77
3150,80;9,90
3148,87;10,03
3146,94;10,16
3145,01;10,29
3143,08;10,42
3141,15;10,55
3139,22;10,68
3137,29;10,81
3135,36;10,94
3133,43;11,06
3131,50;11,19
3129,57;11,31
3127,64;11,43
3125,71;11,54
3123,78;11,66
3121,85;11,77
3119,92;11,88
3117,99;11,98
3116,06;12,09
3114,13;12,19
3112,20;12,28
3110,27;12,37
3108,34;12,45
3106,41;12,53
3104,48;12,60
3102,55;12,67
3100,62;12,74
3098,69;12,81
3096,76;12,86
3094,83;12,91
3092,90;12,94
3090,97;12,96
3089,04;12,97
3087,11;12,97
3085,18;12,96
3083,25;12,94
3081,32;12,91
3079,39;12,87
3077,46;12,82
3075,53;12,77
3073,60;12,70
3071,67;12,63
3069,74;12,54
3067,81;12,46
3065,88;12,37
3063,95;12,29
3062,02;12,21
3060,09;12,14
3058,16;12,08
3056,23;12,00
3054,30;11,92
3052,37;11,83
3050,44;11,73
